time,temperature(C),humidity,note
2022/12/29 16:57:05,"13,69","83,1",""
2022/12/29 17:07:05,"13,63","82,6",""
2022/12/29 17:17:05,"13,69","84,1",""
2022/12/29 17:27:05,"13,75","86,3",""
2022/12/29 17:37:05,"13,81","86,4",""
2022/12/29 17:47:05,"13,75","86,4",""
2022/12/29 17:57:05,"13,00","79,1",""
2022/12/29 18:07:05,"12,19","79,3",""
2022/12/29 18:17:05,"12,25","84,5",""
2022/12/29 18:27:05,"12,75","87,1",""
2022/12/29 18:37:05,"13,19","87,6",""
2022/12/29 18:47:05,"13,50","88,3",""
2022/12/29 18:57:05,"13,69","88,6",""
2022/12/29 19:07:05,"13,81","88,8",""
2022/12/29 19:17:05,"13,94","88,9",""
2022/12/29 19:27:05,"14,00","88,6",""
2022/12/29 19:37:05,"14,06","88,7",""
2022/12/29 19:47:05,"14,13","88,6",""
2022/12/29 19:57:05,"14,19","89,4",""
2022/12/29 20:07:05,"14,19","89,8",""
2022/12/29 20:17:05,"14,25","90,2",""
2022/12/29 20:27:05,"14,31","90,2",""
2022/12/29 20:37:05,"14,31","90,4",""
2022/12/29 20:47:05,"14,38","90,8",""
2022/12/29 20:57:05,"14,38","90,9",""
2022/12/29 21:07:05,"14,44","91,1",""
2022/12/29 21:17:05,"14,44","91,0",""
2022/12/29 21:27:05,"14,50","91,2",""
2022/12/29 21:37:05,"14,50","91,3",""
2022/12/29 21:47:05,"14,56","91,4",""
2022/12/29 21:57:05,"14,56","91,6",""
2022/12/29 22:07:05,"14,63","92,0",""
2022/12/29 22:17:05,"14,63","92,2",""
2022/12/29 22:27:05,"14,63","92,2",""
2022/12/29 22:37:05,"14,69","92,3",""
2022/12/29 22:47:05,"14,69","92,5",""
2022/12/29 22:57:05,"14,69","92,7",""
2022/12/29 23:07:05,"14,69","92,5",""
2022/12/29 23:17:05,"14,75","92,8",""
2022/12/29 23:27:05,"14,75","92,8",""
2022/12/29 23:37:05,"14,75","92,9",""
2022/12/29 23:47:05,"14,81","93,1",""
2022/12/29 23:57:05,"14,81","93,3",""
2022/12/30 00:07:05,"14,81","93,3",""
2022/12/30 00:17:05,"14,88","93,4",""
2022/12/30 00:27:05,"14,88","93,4",""
